"id","location","employee_id","role","start_time","end_time","published","note"
44559,2,486,5,"2018-01-06 10:00:00","2018-01-06 15:00:00",0,""
44560,2,682,7,"2018-01-06 11:00:00","2018-01-06 15:00:00",0,""
44562,2,280,2,"2018-01-06 11:30:00","2018-01-06 15:00:00",0,""
44563,2,664,8,"2018-01-06 11:00:00","2018-01-06 15:00:00",0,""
44564,2,671,8,"2018-01-06 15:00:00","2018-01-06 23:00:00",0,""
44565,2,280,2,"2018-01-06 18:30:00","2018-01-07 01:00:00",0,""
44568,2,613,5,"2018-01-06 18:00:00","2018-01-07 01:00:00",0,""
44570,2,95,10,"2018-01-06 11:30:00","2018-01-06 20:30:00",0,""
44571,2,657,2,"2018-01-06 18:00:00","2018-01-06 23:00:00",0,""
44572,2,96,3,"2018-01-06 12:00:00","2018-01-07 01:00:00",0,""
44573,2,679,5,"2018-01-06 10:30:00","2018-01-06 15:00:00",0,""
44577,2,671,8,"2018-01-07 11:00:00","2018-01-07 23:00:00",0,""
44578,2,552,4,"2018-01-07 11:00:00","2018-01-07 15:30:00",0,""
44579,2,106,2,"2018-01-07 12:00:00","2018-01-07 15:00:00",0,""
44580,2,101,2,"2018-01-07 12:00:00","2018-01-07 15:00:00",0,""
44581,2,97,2,"2018-01-07 10:30:00","2018-01-07 15:30:00",0,""
44582,2,613,4,"2018-01-07 18:00:00","2018-01-07 23:30:00",0,""
44583,2,486,10,"2018-01-07 10:00:00","2018-01-07 15:00:00",0,""
44584,2,650,6,"2018-01-07 11:30:00","2018-01-07 15:00:00",0,""
